1,AdvancedProgrammingintheUNIX(R)Environment(2ndEdition),W.RichardStevens、StephenA.Rago, Addison-Wesley Professional ,https://book.douban.com/subject/1439495/,"
9.8",121,"
内容简介:
""Stephen Rago's update is a long overdue benefit to the community of professionals using the versatile family of UNIX and UNIX-like operating environments. It removes obsolescence and includes newer developments. It also thoroughly updates the context of all topics, examples, and applications to recent releases of popular implementations of UNIX and UNIX-like environments. And ...(展开全部)"
2,UNIX环境高级编程（第3版）,史蒂文斯(W.RichardStevens)、拉戈(StephenA.Rago), 人民邮电出版社 ,https://book.douban.com/subject/25900403/,"
9.8",496,"
内容简介:
《UNIX环境高级编程（第3版）》是被誉为UNIX编程“圣经”的Advanced Programming in the UNIX Environment一书的第3版。在本书第2版出版后的8年中，UNIX行业发生了巨大的变化，特别是影响UNIX编程接口的有关标准变化很大。本书在保持前一版风格的基础上，根据最新的标准对内容进行了修订和增补，反映了最新的技术发展。书中除了介绍UNIX文件和目录、标准I/O库、系统数据文件和信息、进程环境、进程控制、进程关系、信号、线程、线程控制、守护进程、各种I/O、进程间通信、网络IPC、伪终端等方面的内容，还在此基础上介绍了众多应用实例，包括如何创建数据库函数库以及如何与网络打印机通信等。此外，还在附录中给出了函数原型和部分习题的答案。 《UNIX环境高级编程（第3版）》内容权威，概念清晰，阐述精辟，对于所有层次UNI...(展开全部)"
3,深入理解计算机系统（英文版·第3版）,[美]RandalE.Bryant、[美]DavidR.O'Hallaron, 机械工业出版社 ,https://book.douban.com/subject/27000879/,"
9.8",114,"
内容简介:
本书是一本将计算机软件和硬件理论结合讲述的经典教材，内容涵盖计算机导论、体系结构和处理器设计等多门课程。本书*大的特点是为程序员描述计算机系统的实现细节，通过描述程序是如何映射到系统上，以及程序是如何执行的，使读者更好地理解程序的行为，找到程序效率低下的原因。 和第二版相比，本版内容上最大的变化是，从以IA32和x86-64为基础转变为完全以x86-64为基础。主要更新如下： · 基于x86-64，大量地重写代码，首次介绍对处理浮点数据的程序的机器级支持。 · 处理器体系结构修改为支持64位字和操作的设计。 · 引入更多的功能单元和更复杂的控制逻辑，使基于程序数据流表示的程序性能模型预测更加可靠。 · 扩充关于用GOT和PLT创建与位置无关代码的讨论，描述了更加强大的链接技术（比如库打桩）。 · 增加了对信号处理程序更细致的描述，包括异步信号安全的函...(展开全部)"
4,深入理解计算机系统（原书第2版）,[美]RandalE.Bryant、[美]DavidO'Hallaron, 机械工业出版社 ,https://book.douban.com/subject/5333562/,"
9.7",2980,"
内容简介:
本书从程序员的视角详细阐述计算机系统的本质概念，并展示这些概念如何实实在在地影响应用程序的正确性、性能和实用性。全书共12章，主要内容包括信息的表示和处理、程序的机器级表示、处理器体系结构、优化程序性能、存储器层次结构、链接、异常控制流、虚拟存储器、系统级I/O、网络编程、并发编程等。书中提供大量的例子和练习，并给出部分答案，有助于读者加深对正文所述概念和知识的理解。 本书的最大优点是为程序员描述计算机系统的实现细节，帮助其在大脑中构造一个层次型的计算机系统，从最底层的数据在内存中的表示到流水线指令的构成，到虚拟存储器，到编译系统，到动态加载库，到最后的用户态应用。通过掌握程序是如何映射到系统上，以及程序是如何执行的，读者能够更好地理解程序的行为为什么是这样的，以及效率低下是如何造成的。 本书适合那些想要写出更快、更可靠程序的程序员阅读，也适合作为高...(展开全部)"
5,EffectiveJava:3rdEdition,JoshuaBloch, Addison-Wesley Professional ,https://book.douban.com/subject/27047716/,"
9.7",188,"
内容简介:
The Definitive Guide to Java Platform Best Practices—Updated for Java 9  Java has changed dramatically since the previous edition of Effective Java was published shortly after the release of Java 6. This Jolt award-winning classic has now been thoroughly updated to take full advantage of the latest language and library features. The support in modern Java for multiple paradigms...(展开全部)"
6,汇编语言（第4版）,王爽, 清华大学出版社 ,https://book.douban.com/subject/35038473/,"
9.7",121,"
内容简介:
汇编语言是各种CPU提供的机器指令的助记符的集合，人们可以用汇编语言直接控制硬件系统进行工作。汇编语言是很多相关课程(如数据结构、操作系统、微机原理等)的重要基础。为了更好地引导、帮助读者学习汇编语言，作者以循序渐进的思想精心创作了这本书。《汇编语言（第4版）》具有如下特点：采用了全新的结构对课程的内容进行组织，对知识进行z小化分割，为读者构造了循序渐进的学习线索；在深入本质的层面上对汇编语言进行讲解；对关键环节进行深入的剖析。 《汇编语言（第4版）》可用作大学计算机专业本科生的汇编语言教材及希望深入学习计算机科学的读者的自学教材。"
7,StructureandInterpretationofComputerPrograms-2ndEdition(MIT),HaroldAbelson、GeraldJaySussman、JulieSussman, The MIT Press ,https://book.douban.com/subject/1451622/,"
9.6",744,"
内容简介:
Structure and Interpretation of Computer Programs has had a dramatic impact on computer science curricula over the past decade. This long-awaited revision contains changes throughout the text. There are new implementations of most of the major programming systems in the book, including the interpreters and compilers, and the authors have incorporated many small changes that ref...(展开全部)"
8,C程序设计语言,BrianW.Kernighan、DennisM.Ritchie, 清华大学出版社 ,https://book.douban.com/subject/1230004/,"
9.6",190,"
内容简介:
C程序设计语言于1978年出了第一版，此后，计算机世界经历了一场革命，C语言也有了合理的变化。1988年美国国家标准学会就C语言的主义制订出了ANSI C标准。本书第二版就是按这个标准来描述C语言的。全书八章，分别分：1.指导性绪论；2.数据类型、运算符与表达式；3.控制流；4.函数与结构；5.指针与数组；6.结构；7.输入输出；8.UNIX系统界面。书后附录为：A.参考手册；B.标准库；C.语言"
9,C程序设计语言:(英文版·第2版),BrianW.Kernighan、DennisM.Ritchie, 机械工业出版社 ,https://book.douban.com/subject/1882483/,"
9.6",601,"
内容简介:
在计算机发展的历史上，没有哪一种程序设计语言像C语言这样应用广泛。本书是C语言的设计者之一Dennis M.Ritchie和著名计算机科学家Brian W.Kernighan合著的一本介绍C语言的权威经典著作。我们现在见到的大量论述C语言程序设计的教材和专著均以此书为蓝本。本书第1版中介绍的C语言成为后来广泛使用的C语言版本——标准C的基础。人们熟知的“hello,World""程序就是由本书首次引入的。现在，这一程序已经成为众多程序设计语言入门的第一课。 第2版根据1987年制定的ANSIC标准做了适当的修订，引入了最新的语言形式，并增加了新的示例。通过简洁的描述、典型的示例，作者全面、系统、准确地讲述了C语言的各个特性以及程序设计的基本方法。对于计算机从业人员来说，本书是一本必读的程序设计语言方面的参考书。"
10,Go程序设计语言(英文版),艾伦A.A.多诺万(AlanA.A.Donovan)、布莱恩W.柯尼汉(BrianW.Kemighan), 机械工业出版社 ,https://book.douban.com/subject/26859123/,"
9.6",129,"
内容简介:"
